Label	Value
Event 1	The first recorded epidemic of smallpox in the New World on the island of Hispaniola. It devastates the native Taíno population.
Event 2	Genghis Khan was elected as Khagan of the Mongols and the Mongol Empire was established.
Event 3	The first cornerstone is laid for the construction of Notre Dame de Paris.
Event 4	Copernicus writes Commentariolus, and proclaims the sun the center of the solar system.
Event 5	The Knights Templar are founded to protect Jerusalem and European pilgrims on their journey to the city.
